date,platform,post_type,likes,shares,comments,views,platform_encoded,post_type_encoded,year,month,day_of_week,week_of_year
10/13/2022,Twitter,video,665,690,232,6796,0,1,2022,10,3,41
10/14/2022,Twitter,image,1419,131,414,8810,0,0,2022,10,4,41
10/14/2022,Instagram,text,949,316,217,7760,1,2,2022,10,4,41
10/14/2022,Facebook,text,829,286,480,4131,2,2,2022,10,4,41
10/14/2022,Facebook,image,1839,530,293,9667,2,0,2022,10,4,41
10/14/2022,Facebook,text,1498,689,362,8387,2,2,2022,10,4,41
10/14/2022,Facebook,video,627,812,385,8691,2,1,2022,10,4,41
10/15/2022,Facebook,image,2104,640,263,4077,2,0,2022,10,5,41
10/15/2022,Instagram,video,2198,867,319,6823,1,1,2022,10,5,41
10/15/2022,Twitter,image,1849,507,185,5816,0,0,2022,10,5,41
10/15/2022,Twitter,text,2126,580,106,6650,0,2,2022,10,5,41
10/15/2022,Twitter,text,1608,742,140,8036,0,2,2022,10,5,41
10/15/2022,Twitter,video,481,488,146,4531,0,1,2022,10,5,41
10/16/2022,Twitter,image,656,243,486,6251,0,0,2022,10,6,41
10/16/2022,Facebook,image,1386,667,423,8287,2,0,2022,10,6,41
10/16/2022,Twitter,text,1207,367,132,5559,0,2,2022,10,6,41
10/16/2022,Instagram,text,1639,872,337,8755,1,2,2022,10,6,41
10/16/2022,Instagram,video,708,774,417,8055,1,1,2022,10,6,41
10/16/2022,Facebook,video,578,228,296,8656,2,1,2022,10,6,41
10/17/2022,Instagram,text,1671,589,274,5616,1,2,2022,10,0,42
10/17/2022,Facebook,text,1236,305,329,8595,2,2,2022,10,0,42
10/17/2022,Facebook,image,1832,686,438,5704,2,0,2022,10,0,42
10/17/2022,Instagram,video,1307,328,415,9355,1,1,2022,10,0,42
10/17/2022,Twitter,video,1835,670,119,7783,0,1,2022,10,0,42
10/17/2022,Twitter,image,2067,238,436,8121,0,0,2022,10,0,42
10/17/2022,Facebook,text,1227,641,320,8679,2,2,2022,10,0,42
10/17/2022,Facebook,video,600,551,136,7682,2,1,2022,10,0,42
10/18/2022,Twitter,image,1184,348,500,4221,0,0,2022,10,1,42
10/18/2022,Facebook,video,970,297,429,4430,2,1,2022,10,1,42
10/19/2022,Twitter,text,1197,850,155,8959,0,2,2022,10,2,42
10/19/2022,Facebook,video,1461,359,241,5644,2,1,2022,10,2,42
10/19/2022,Facebook,text,1435,194,478,4387,2,2,2022,10,2,42
10/19/2022,Instagram,video,1629,794,481,4784,1,1,2022,10,2,42
10/19/2022,Instagram,text,1096,662,454,9274,1,2,2022,10,2,42
10/19/2022,Twitter,video,1387,822,107,8228,0,1,2022,10,2,42
10/20/2022,Twitter,text,1811,642,413,7738,0,2,2022,10,3,42
10/20/2022,Twitter,video,2146,255,444,9596,0,1,2022,10,3,42
10/20/2022,Instagram,text,1970,737,367,8536,1,2,2022,10,3,42
10/21/2022,Twitter,image,576,447,419,6777,0,0,2022,10,4,42
10/21/2022,Twitter,video,596,538,303,6550,0,1,2022,10,4,42
10/21/2022,Instagram,image,1121,763,189,4064,1,0,2022,10,4,42
10/21/2022,Twitter,video,623,415,149,9094,0,1,2022,10,4,42
10/22/2022,Instagram,text,550,337,137,7455,1,2,2022,10,5,42
10/22/2022,Facebook,text,953,853,377,4887,2,2,2022,10,5,42
10/22/2022,Instagram,image,840,787,347,4377,1,0,2022,10,5,42
10/22/2022,Twitter,text,1312,590,165,9324,0,2,2022,10,5,42
10/22/2022,Twitter,image,1456,781,484,9195,0,0,2022,10,5,42
10/22/2022,Twitter,video,1328,805,410,6282,0,1,2022,10,5,42
10/22/2022,Twitter,image,1103,444,267,9756,0,0,2022,10,5,42
10/22/2022,Instagram,video,1559,898,139,9531,1,1,2022,10,5,42
10/22/2022,Twitter,text,808,162,334,4028,0,2,2022,10,5,42
10/23/2022,Facebook,image,502,898,129,6521,2,0,2022,10,6,42
10/23/2022,Instagram,video,2027,889,413,5947,1,1,2022,10,6,42
10/23/2022,Instagram,video,1144,428,283,6667,1,1,2022,10,6,42
10/23/2022,Facebook,video,1501,320,331,6778,2,1,2022,10,6,42
10/23/2022,Facebook,video,1871,881,337,5642,2,1,2022,10,6,42
10/23/2022,Instagram,image,1948,801,416,6023,1,0,2022,10,6,42
10/24/2022,Twitter,text,1773,528,352,6754,0,2,2022,10,0,43
10/24/2022,Instagram,image,1896,461,216,7535,1,0,2022,10,0,43
10/24/2022,Instagram,image,1049,456,203,4673,1,0,2022,10,0,43
10/24/2022,Instagram,video,911,209,401,8290,1,1,2022,10,0,43
10/25/2022,Twitter,text,1877,403,150,9291,0,2,2022,10,1,43
10/25/2022,Instagram,video,898,114,243,9011,1,1,2022,10,1,43
10/25/2022,Instagram,text,565,670,199,5681,1,2,2022,10,1,43
10/26/2022,Twitter,text,657,450,335,8418,0,2,2022,10,2,43
10/26/2022,Instagram,video,1465,372,154,4446,1,1,2022,10,2,43
10/26/2022,Instagram,text,2142,241,183,5550,1,2,2022,10,2,43
10/26/2022,Twitter,image,1837,806,199,6694,0,0,2022,10,2,43
10/26/2022,Facebook,text,1140,680,439,7962,2,2,2022,10,2,43
10/26/2022,Instagram,video,2130,765,181,9787,1,1,2022,10,2,43
10/26/2022,Facebook,image,1296,491,252,8187,2,0,2022,10,2,43
10/26/2022,Facebook,video,1852,684,185,6223,2,1,2022,10,2,43
10/26/2022,Instagram,image,773,403,205,6136,1,0,2022,10,2,43
10/27/2022,Facebook,image,1072,348,284,5746,2,0,2022,10,3,43
10/27/2022,Instagram,video,494,382,176,8015,1,1,2022,10,3,43
10/27/2022,Twitter,video,752,293,235,6609,0,1,2022,10,3,43
10/27/2022,Facebook,image,1496,571,353,8760,2,0,2022,10,3,43
10/27/2022,Facebook,image,1186,829,135,8335,2,0,2022,10,3,43
10/27/2022,Twitter,video,1740,296,491,5059,0,1,2022,10,3,43
10/27/2022,Instagram,image,583,249,461,9463,1,0,2022,10,3,43
10/27/2022,Instagram,video,881,350,217,8945,1,1,2022,10,3,43
10/28/2022,Instagram,image,546,390,190,9807,1,0,2022,10,4,43
10/28/2022,Instagram,image,1620,220,487,4973,1,0,2022,10,4,43
10/28/2022,Facebook,image,753,618,227,8010,2,0,2022,10,4,43
10/28/2022,Facebook,text,2078,825,452,4369,2,2,2022,10,4,43
10/28/2022,Twitter,image,788,298,494,9537,0,0,2022,10,4,43
10/28/2022,Facebook,video,515,433,423,7151,2,1,2022,10,4,43
10/28/2022,Instagram,image,2166,482,401,8331,1,0,2022,10,4,43
10/28/2022,Instagram,image,1212,664,220,6445,1,0,2022,10,4,43
10/28/2022,Facebook,image,1577,341,145,5547,2,0,2022,10,4,43
10/28/2022,Twitter,video,915,387,485,7739,0,1,2022,10,4,43
10/29/2022,Twitter,image,1660,470,374,6571,0,0,2022,10,5,43
10/30/2022,Instagram,text,574,387,244,4954,1,2,2022,10,6,43
10/30/2022,Twitter,video,954,501,211,4296,0,1,2022,10,6,43
10/30/2022,Twitter,video,1640,651,304,8268,0,1,2022,10,6,43
10/30/2022,Instagram,image,1247,156,142,5743,1,0,2022,10,6,43
10/30/2022,Instagram,video,1968,540,444,5172,1,1,2022,10,6,43
10/30/2022,Facebook,video,521,206,331,6284,2,1,2022,10,6,43
10/30/2022,Instagram,text,1694,523,310,8930,1,2,2022,10,6,43
10/30/2022,Instagram,text,1451,737,302,6810,1,2,2022,10,6,43
10/30/2022,Twitter,image,1370,882,207,5512,0,0,2022,10,6,43
10/30/2022,Twitter,video,1191,740,166,9044,0,1,2022,10,6,43
10/31/2022,Instagram,video,1065,863,388,8486,1,1,2022,10,0,44
10/31/2022,Twitter,text,579,308,230,6120,0,2,2022,10,0,44
10/31/2022,Twitter,video,1996,523,279,7796,0,1,2022,10,0,44
10/31/2022,Facebook,video,1947,813,310,5268,2,1,2022,10,0,44
10/31/2022,Instagram,video,485,663,236,9927,1,1,2022,10,0,44
10/31/2022,Instagram,video,594,696,388,7916,1,1,2022,10,0,44
10/31/2022,Instagram,image,694,511,179,8805,1,0,2022,10,0,44
10/31/2022,Twitter,image,950,880,463,6306,0,0,2022,10,0,44
11/1/2022,Instagram,image,995,663,500,7034,1,0,2022,11,1,44
11/1/2022,Instagram,text,1471,255,364,5177,1,2,2022,11,1,44
11/1/2022,Facebook,video,833,118,473,5393,2,1,2022,11,1,44
11/2/2022,Instagram,image,454,877,103,5012,1,0,2022,11,2,44
11/2/2022,Twitter,image,1136,228,227,8137,0,0,2022,11,2,44
11/2/2022,Instagram,image,1435,546,325,8579,1,0,2022,11,2,44
11/2/2022,Facebook,image,1888,803,247,7962,2,0,2022,11,2,44
11/2/2022,Facebook,text,1155,417,327,7616,2,2,2022,11,2,44
11/2/2022,Instagram,text,1394,688,383,6236,1,2,2022,11,2,44
11/3/2022,Facebook,video,1921,577,374,4956,2,1,2022,11,3,44
11/3/2022,Instagram,image,1394,635,431,9486,1,0,2022,11,3,44
11/3/2022,Instagram,text,1630,627,399,6347,1,2,2022,11,3,44
11/3/2022,Twitter,video,1932,355,117,4545,0,1,2022,11,3,44
11/3/2022,Facebook,video,896,206,384,6887,2,1,2022,11,3,44
11/4/2022,Twitter,image,792,214,254,6429,0,0,2022,11,4,44
11/4/2022,Facebook,text,495,634,403,9970,2,2,2022,11,4,44
11/4/2022,Twitter,text,1832,436,101,5109,0,2,2022,11,4,44
11/4/2022,Twitter,video,691,388,284,6791,0,1,2022,11,4,44
11/4/2022,Twitter,text,1224,351,432,9529,0,2,2022,11,4,44
11/4/2022,Facebook,video,751,893,415,4968,2,1,2022,11,4,44
11/4/2022,Facebook,image,2124,427,197,9802,2,0,2022,11,4,44
11/5/2022,Facebook,image,2084,548,448,8178,2,0,2022,11,5,44
11/5/2022,Facebook,image,1182,733,389,4684,2,0,2022,11,5,44
11/6/2022,Facebook,image,508,591,272,4693,2,0,2022,11,6,44
11/6/2022,Facebook,video,1215,308,474,8671,2,1,2022,11,6,44
11/6/2022,Instagram,video,1445,212,326,5583,1,1,2022,11,6,44
11/6/2022,Facebook,video,1322,646,204,9782,2,1,2022,11,6,44
11/7/2022,Twitter,video,1936,282,336,4454,0,1,2022,11,0,45
11/7/2022,Instagram,video,1521,370,217,4948,1,1,2022,11,0,45
11/7/2022,Facebook,text,1167,594,225,9657,2,2,2022,11,0,45
11/7/2022,Facebook,text,420,636,394,6543,2,2,2022,11,0,45
11/7/2022,Twitter,image,1351,771,363,6608,0,0,2022,11,0,45
11/7/2022,Facebook,text,446,855,498,4108,2,2,2022,11,0,45
11/7/2022,Facebook,image,1010,853,442,6879,2,0,2022,11,0,45
11/7/2022,Twitter,text,1961,855,253,6871,0,2,2022,11,0,45
11/8/2022,Instagram,image,1220,534,301,6609,1,0,2022,11,1,45
11/8/2022,Instagram,image,1871,663,278,9288,1,0,2022,11,1,45
